Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
"11560 W. Pico Blvd, Los Angeles CA 90064",,,,34.03269,-118.44316,1,rooftop,11560,W Pico Blvd,Los Angeles,CA,Los Angeles County,90064,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,271200,2002,2,6.03727E+13,giscorps
"11574 Lower Azusa Road, El Monte, CA 91732",,,,34.090667,-118.015405,1,rooftop,11574,Lower Azusa Rd,El Monte,CA,Los Angeles County,91732,US,Los Angeles,2019,6,6037,El Monte,622230,432401,2000,2,6.03743E+13,giscorps
"11600 Venice Blvd, Los Angeles, CA 90066",,,,34.008834,-118.423806,1,rooftop,11600,Venice Blvd,Los Angeles,CA,Los Angeles County,90066,US,Los Angeles,2019,6,6037,Los Angeles,644000,272301,2000,2,6.03727E+13,giscorps
"11800 ARTESIA BLVD, ARTESIA, CA 90701",,,,33.872413,-118.081868,1,rooftop,11800,Artesia Blvd,Artesia,CA,Los Angeles County,90701,US,Los Angeles,2019,6,6037,Artesia,602896,554802,2003,2,6.03755E+13,giscorps
"11942 Paramount Blvd, Downey, CA 90242",,,,33.933529,-118.144122,1,rooftop,11942,Paramount Blvd,Downey,CA,Los Angeles County,90242,US,Los Angeles,2019,6,6037,Downey,619766,551201,1000,1,6.03755E+13,giscorps
"11980 San Vicente Boulevard, Suite 102 Los Angeles, CA, 90049",,,,34.051997,-118.471923,1,range_interpolation,11980,San Vicente Blvd,Los Angeles,CA,Los Angeles County,90049,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,264302,1000,1,6.03726E+13,giscorps
"120 East Bonita Avenue, San Dimas, CA 91773",,,,34.105884,-117.806339,1,rooftop,120,E Bonita Ave,San Dimas,CA,Los Angeles County,91773,US,Los Angeles,2019,6,6037,San Dimas,666070,400304,2010,2,6.0374E+13,giscorps
"120 N Mission Rd, Los Angeles, CA 90033",,,,34.04835,-118.227532,1,range_interpolation,120,N Mission Rd,Los Angeles,CA,Los Angeles County,90033,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,206032,3022,3,6.03721E+13,giscorps
"1204 San Fernando Road, San Fernando, CA 91340",,,,34.284173,-118.44337,1,rooftop,1204,San Fernando Rd,San Fernando,CA,Los Angeles County,91340,US,Los Angeles,2019,6,6037,San Fernando,666140,320300,2009,2,6.03732E+13,giscorps
"1208 West Redondo Beach Blvd, Gardena, CA 90247",,,,33.892196,-118.296306,1,range_interpolation,1208,W Redondo Beach Blvd,Gardena,CA,Los Angeles County,90247,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Gardena,628168,603101,3004,3,6.0376E+13,giscorps
"12100 Valley Blvd. Suite 109A, El Monte, CA 91732",,,,34.060963,-118.016699,1,rooftop,12100,Valley Blvd,El Monte,CA,Los Angeles County,91732,US,Los Angeles,2019,6,6037,El Monte,622230,433901,1003,1,6.03743E+13,giscorps
